Memory Management First Come First Serve Scheduler Simulation # 1  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
29 2222 RUNNING WAITING
29 5555 READY RUNNING
30 2222 WAITING READY
33 5555 RUNNING WAITING
33 1111 READY RUNNING
34 5555 WAITING READY
37 1111 RUNNING WAITING
37 3333 READY RUNNING
38 1111 WAITING READY
41 3333 RUNNING WAITING
41 4444 READY RUNNING
42 3333 WAITING READY
45 4444 RUNNING WAITING
45 2222 READY RUNNING
46 4444 WAITING READY
48 2222 RUNNING SUSPENDED
48 5555 READY RUNNING
52 5555 RUNNING WAITING
52 1111 READY RUNNING
53 5555 WAITING READY
56 1111 RUNNING WAITING
56 3333 READY RUNNING
57 1111 WAITING READY
60 3333 RUNNING SUSPENDED
60 4444 READY RUNNING
63 4444 RUNNING SUSPENDED
63 5555 READY RUNNING
67 5555 RUNNING WAITING
67 1111 READY RUNNING
68 5555 WAITING READY
69 1111 RUNNING SUSPENDED
69 5555 READY RUNNING
71 5555 RUNNING SUSPENDED
Memory Management First Come First Serve Scheduler Simulation # 2  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
29 2222 RUNNING WAITING
29 5555 READY RUNNING
30 2222 WAITING READY
33 5555 RUNNING WAITING
33 1111 READY RUNNING
34 5555 WAITING READY
37 1111 RUNNING WAITING
37 3333 READY RUNNING
38 1111 WAITING READY
41 3333 RUNNING WAITING
41 4444 READY RUNNING
42 3333 WAITING READY
45 4444 RUNNING WAITING
45 2222 READY RUNNING
46 4444 WAITING READY
48 2222 RUNNING SUSPENDED
48 5555 READY RUNNING
52 5555 RUNNING WAITING
52 1111 READY RUNNING
53 5555 WAITING READY
56 1111 RUNNING WAITING
56 3333 READY RUNNING
57 1111 WAITING READY
60 3333 RUNNING SUSPENDED
60 4444 READY RUNNING
63 4444 RUNNING SUSPENDED
63 5555 READY RUNNING
67 5555 RUNNING WAITING
67 1111 READY RUNNING
68 5555 WAITING READY
69 1111 RUNNING SUSPENDED
69 5555 READY RUNNING
71 5555 RUNNING SUSPENDED
Memory Management First Come First Serve Scheduler Simulation # 3  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
29 2222 RUNNING WAITING
29 5555 READY RUNNING
30 2222 WAITING READY
33 5555 RUNNING WAITING
33 1111 READY RUNNING
34 5555 WAITING READY
37 1111 RUNNING WAITING
37 3333 READY RUNNING
38 1111 WAITING READY
41 3333 RUNNING WAITING
41 4444 READY RUNNING
42 3333 WAITING READY
45 4444 RUNNING WAITING
45 2222 READY RUNNING
46 4444 WAITING READY
48 2222 RUNNING SUSPENDED
48 5555 READY RUNNING
52 5555 RUNNING WAITING
52 1111 READY RUNNING
53 5555 WAITING READY
56 1111 RUNNING WAITING
56 3333 READY RUNNING
57 1111 WAITING READY
60 3333 RUNNING SUSPENDED
60 4444 READY RUNNING
63 4444 RUNNING SUSPENDED
63 5555 READY RUNNING
67 5555 RUNNING WAITING
67 1111 READY RUNNING
68 5555 WAITING READY
69 1111 RUNNING SUSPENDED
69 5555 READY RUNNING
71 5555 RUNNING SUSPENDED
Memory Management First Come First Serve Scheduler Simulation # 4  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
29 2222 RUNNING WAITING
29 5555 READY RUNNING
30 2222 WAITING READY
33 5555 RUNNING WAITING
33 1111 READY RUNNING
34 5555 WAITING READY
37 1111 RUNNING WAITING
37 3333 READY RUNNING
38 1111 WAITING READY
41 3333 RUNNING WAITING
41 4444 READY RUNNING
42 3333 WAITING READY
45 4444 RUNNING WAITING
45 2222 READY RUNNING
46 4444 WAITING READY
48 2222 RUNNING SUSPENDED
48 5555 READY RUNNING
52 5555 RUNNING WAITING
52 1111 READY RUNNING
53 5555 WAITING READY
56 1111 RUNNING WAITING
56 3333 READY RUNNING
57 1111 WAITING READY
60 3333 RUNNING SUSPENDED
60 4444 READY RUNNING
63 4444 RUNNING SUSPENDED
63 5555 READY RUNNING
67 5555 RUNNING WAITING
67 1111 READY RUNNING
68 5555 WAITING READY
69 1111 RUNNING SUSPENDED
69 5555 READY RUNNING
71 5555 RUNNING SUSPENDED
Memory Management First Come First Serve Scheduler Simulation # 5  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
29 2222 RUNNING WAITING
29 5555 READY RUNNING
30 2222 WAITING READY
33 5555 RUNNING WAITING
33 1111 READY RUNNING
34 5555 WAITING READY
37 1111 RUNNING WAITING
37 3333 READY RUNNING
38 1111 WAITING READY
41 3333 RUNNING WAITING
41 4444 READY RUNNING
42 3333 WAITING READY
45 4444 RUNNING WAITING
45 2222 READY RUNNING
46 4444 WAITING READY
48 2222 RUNNING SUSPENDED
48 5555 READY RUNNING
52 5555 RUNNING WAITING
52 1111 READY RUNNING
53 5555 WAITING READY
56 1111 RUNNING WAITING
56 3333 READY RUNNING
57 1111 WAITING READY
60 3333 RUNNING SUSPENDED
60 4444 READY RUNNING
63 4444 RUNNING SUSPENDED
63 5555 READY RUNNING
67 5555 RUNNING WAITING
67 1111 READY RUNNING
68 5555 WAITING READY
69 1111 RUNNING SUSPENDED
69 5555 READY RUNNING
71 5555 RUNNING SUSPENDED
Memory Management First Come First Serve Scheduler Simulation # 6  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
29 2222 RUNNING WAITING
29 5555 READY RUNNING
30 2222 WAITING READY
33 5555 RUNNING WAITING
33 1111 READY RUNNING
34 5555 WAITING READY
37 1111 RUNNING WAITING
37 3333 READY RUNNING
38 1111 WAITING READY
41 3333 RUNNING WAITING
41 4444 READY RUNNING
42 3333 WAITING READY
45 4444 RUNNING WAITING
45 2222 READY RUNNING
46 4444 WAITING READY
48 2222 RUNNING SUSPENDED
48 5555 READY RUNNING
52 5555 RUNNING WAITING
52 1111 READY RUNNING
53 5555 WAITING READY
56 1111 RUNNING WAITING
56 3333 READY RUNNING
57 1111 WAITING READY
60 3333 RUNNING SUSPENDED
60 4444 READY RUNNING
63 4444 RUNNING SUSPENDED
63 5555 READY RUNNING
67 5555 RUNNING WAITING
67 1111 READY RUNNING
68 5555 WAITING READY
69 1111 RUNNING SUSPENDED
69 5555 READY RUNNING
71 5555 RUNNING SUSPENDED
Memory Management First Come First Serve Scheduler Simulation # 7  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
29 2222 RUNNING WAITING
29 5555 READY RUNNING
30 2222 WAITING READY
33 5555 RUNNING WAITING
33 1111 READY RUNNING
34 5555 WAITING READY
37 1111 RUNNING WAITING
37 3333 READY RUNNING
38 1111 WAITING READY
41 3333 RUNNING WAITING
41 4444 READY RUNNING
42 3333 WAITING READY
45 4444 RUNNING WAITING
45 2222 READY RUNNING
46 4444 WAITING READY
48 2222 RUNNING SUSPENDED
48 5555 READY RUNNING
52 5555 RUNNING WAITING
52 1111 READY RUNNING
53 5555 WAITING READY
56 1111 RUNNING WAITING
56 3333 READY RUNNING
57 1111 WAITING READY
60 3333 RUNNING SUSPENDED
60 4444 READY RUNNING
63 4444 RUNNING SUSPENDED
63 5555 READY RUNNING
67 5555 RUNNING WAITING
67 1111 READY RUNNING
68 5555 WAITING READY
69 1111 RUNNING SUSPENDED
69 5555 READY RUNNING
71 5555 RUNNING SUSPENDED
Memory Management First Come First Serve Scheduler Simulation # 8  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
29 2222 RUNNING WAITING
29 5555 READY RUNNING
30 2222 WAITING READY
33 5555 RUNNING WAITING
33 1111 READY RUNNING
34 5555 WAITING READY
37 1111 RUNNING WAITING
37 3333 READY RUNNING
38 1111 WAITING READY
41 3333 RUNNING WAITING
41 4444 READY RUNNING
42 3333 WAITING READY
45 4444 RUNNING WAITING
45 2222 READY RUNNING
46 4444 WAITING READY
48 2222 RUNNING SUSPENDED
48 5555 READY RUNNING
52 5555 RUNNING WAITING
52 1111 READY RUNNING
53 5555 WAITING READY
56 1111 RUNNING WAITING
56 3333 READY RUNNING
57 1111 WAITING READY
60 3333 RUNNING SUSPENDED
60 4444 READY RUNNING
63 4444 RUNNING SUSPENDED
63 5555 READY RUNNING
67 5555 RUNNING WAITING
67 1111 READY RUNNING
68 5555 WAITING READY
69 1111 RUNNING SUSPENDED
69 5555 READY RUNNING
71 5555 RUNNING SUSPENDED
Memory Management First Come First Serve Scheduler Simulation # 9  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
